Name,Date Of Birth,Country,Number_200m,Number_first_50m,Number_second_50m,Number_third_50m,gender,Stroke
"CHUPKOV, Anton",1997,RUS,02:07.9,29.81,33.39,32.66,m,Freestyle
"MATTSSON, Matti",1993,FIN,02:08.3,29.28,32.86,32.99,m,Freestyle
"KAMMINGA, Arno",1995,NED,02:08.3,28.98,33.2,33.73,m,Freestyle
"MURDOCH, Ross",1994,GBR,02:08.8,29.79,32.72,33.17,m,Freestyle
"PRIGODA, Kirill",1995,RUS,02:08.8,28.92,33.24,33.38,m,Freestyle
"WILBY, James",1993,GBR,02:09.9,29.41,33.06,33.75,m,Freestyle
"CORBEAU, Caspar",2001,NED,02:10.0,29.59,33.34,33.5,m,Freestyle
"KOCH, Marco",1990,GER,02:10.0,29.53,33.41,33.57,m,Freestyle
"SIDLAUSKAS, Andrius",1997,LTU,02:10.1,29.61,33.32,33.69,m,Freestyle
"GIORGETTI, Edoardo",1989,ITA,02:10.5,29.66,33.82,33.33,m,Freestyle
"TITENIS, Giedrius",1989,LTU,02:10.9,29.86,33.26,33.39,m,Freestyle
"EPITROPOV, Lyubomir E",1999,BUL,02:11.2,29.92,33.34,34.12,m,Freestyle
"BAYER, Valentin",1999,AUT,02:11.6,30.13,33.16,34.34,m,Freestyle
"PAULSSON, Adam",1995,SWE,02:12.0,29.83,33.76,34.04,m,Freestyle
"ROTHBAUER, Christopher",1998,AUT,02:13.0,30.05,33.96,34.9,m,Freestyle
"KAMMINGA, Arno",1995,NED,02:07.4,28.93,32.94,32.95,m,Freestyle
"MATTSSON, Matti",1993,FIN,02:08.4,28.99,32.23,33.2,m,Freestyle
"PRIGODA, Kirill",1995,RUS,02:09.2,29.24,32.92,33.37,m,Freestyle
"CHUPKOV, Anton",1997,RUS,02:09.4,30.29,33.79,33.06,m,Freestyle
"MURDOCH, Ross",1994,GBR,02:09.6,29.65,32.84,33.29,m,Freestyle
"SIDLAUSKAS, Andrius",1997,LTU,02:09.7,29.46,33.14,33.32,m,Freestyle
"PERSSON, Erik",1994,SWE,02:09.8,29.48,32.64,33.93,m,Freestyle
"WILBY, James",1993,GBR,02:10.0,29.39,32.84,33.83,m,Freestyle
"ZHIGALOV, Aleksandr",2001,RUS,02:10.1,29.98,33.33,33.15,m,Freestyle
"EPITROPOV, Lyubomir E",1999,BUL,02:10.1,29.87,33.07,33.44,m,Freestyle
"KOCH, Marco",1990,GER,02:10.4,30.09,33.72,33.46,m,Freestyle
"TITENIS, Giedrius",1989,LTU,02:11.1,30,33.47,33.55,m,Freestyle
"CORBEAU, Caspar",2001,NED,02:11.2,29.25,32.75,34,m,Freestyle
"ROTHBAUER, Christopher",1998,AUT,02:11.8,29.75,33.37,33.91,m,Freestyle
"BAYER, Valentin",1999,AUT,02:12.0,30.21,33.87,33.96,m,Freestyle
"PAULSSON, Adam",1995,SWE,02:12.0,30.06,33.52,33.79,m,Freestyle
"GIORGETTI, Edoardo",1989,ITA,02:12.2,29.28,33.27,34.36,m,Freestyle
"ZABOJNIK, Matej",2000,CZE,02:12.3,29.65,33.66,34.58,m,Freestyle
"OEGRETIR, Berkay Oemer",1998,TUR,02:12.3,29.39,33.4,34.02,m,Freestyle
"SHYMANOVICH, Ilya",1994,BLR,02:12.7,29.57,33.39,34.38,m,Freestyle
"PILGER, Max",1996,GER,02:12.7,29.76,33.87,34.04,m,Freestyle
"ALLIKVEE, Martin",1995,EST,02:12.8,30.07,33.24,34.03,m,Freestyle
"VIQUERAT, Antoine",1998,FRA,02:12.8,29.41,33.69,34.24,m,Freestyle
"CASTELLO, Andrea",1998,ITA,02:12.8,29.75,33.9,33.95,m,Freestyle
"CHRAPAVY, Filip",1999,CZE,02:13.2,30.84,33.44,34.07,m,Freestyle
"KLOBUCNIK, Tomas",1990,SVK,02:13.3,29.5,33.74,34.73,m,Freestyle
"DEMIR, Demirkan",2001,TUR,02:13.4,29.92,33.73,34.49,m,Freestyle
"MARCHAND, Leon",2002,FRA,02:13.4,30.26,34.02,34.01,m,Freestyle
"SEMYANINOV, Danil",1998,RUS,02:13.9,30.48,34.5,34.22,m,Freestyle
"THOMOGLOU, Savvas",2001,GRE,02:14.2,30.71,34.15,34.77,m,Freestyle
"QUINTAS, Francisco Robalo",1995,POR,02:14.3,30.34,34.51,34.72,m,Freestyle
"KUTASI, Mate",1998,HUN,02:14.5,31.12,34.04,34.63,m,Freestyle
"BOVEY, Jolann",1996,SUI,02:14.6,29.81,33.37,34.96,m,Freestyle
"HORVATH, David",1996,HUN,02:14.7,30.64,34.43,34.99,m,Freestyle
"HAARSAKER, Christoffer Tofte",1993,NOR,02:14.9,30.56,34.33,34.65,m,Freestyle
"KAESER, Yannick",1992,SUI,02:15.1,30.12,34.07,34.91,m,Freestyle
"BOBROVS, Daniils",1997,LAT,02:15.2,30.7,34.28,35.25,m,Freestyle
"SAVICKAS, Aleksas",2003,LTU,02:15.3,30.87,34.56,35.18,m,Freestyle
"TOROK, Dominik Mark",2002,HUN,02:15.9,30.77,34.86,34.95,m,Freestyle
"BALLESTER PUIG, Joan",1995,ESP,02:16.1,30.08,34.55,35.26,m,Freestyle
"MLADENOVIC, Luka",2004,AUT,02:16.9,30.17,34.67,35.95,m,Freestyle
"LISOVETS', Volodymyr",2004,UKR,02:18.8,31.77,35.52,35.5,m,Freestyle
"KRYZHANIVS'KYY, Rostyslav",2004,UKR,02:20.0,30.87,34.86,36.84,m,Freestyle
"NIINE, Joonas",2000,EST,02:20.9,31.03,36.03,36.94,m,Freestyle
"CASADEI, Giacomo",2002,SMR,02:24.3,32.32,36.48,37.8,m,Freestyle
"GRINDHEIM, Andre Klippenberg",2000,NOR,02:26.7,27.77,32.46,43.64,m,Freestyle
"QARRI, Even",2003,ALB,02:35.1,33.28,38.47,40.61,m,Freestyle
"RENSHAW, Molly",1996,GBR,02:21.3,32.41,35.45,36.28,f,Freestyle
"MAMIE, Lisa",1998,SUI,02:22.1,32.36,36.35,36.57,f,Freestyle
"EFIMOVA, Yuliya",1992,RUS,02:22.2,33.07,35.91,36.11,f,Freestyle
"CHIKUNOVA, Evgeniia",2004,RUS,02:22.2,32.83,36.26,36.8,f,Freestyle
"WOOD, Abbie",1999,GBR,02:22.8,32.72,35.96,36.81,f,Freestyle
"FANGIO, Francesca",1995,ITA,02:24.3,32.83,36.91,36.85,f,Freestyle
"GARCIA URZAINQUI, Marina",1994,ESP,02:25.8,32.94,36.44,37.52,f,Freestyle
"VALL MONTERO, Jessica",1988,ESP,02:25.8,33.29,37.08,37.53,f,Freestyle
"RENSHAW, Molly",1996,GBR,02:21.6,32.81,35.84,36.32,f,Freestyle
"WOOD, Abbie",1999,GBR,02:21.9,32.69,35.86,36.44,f,Freestyle
"MAMIE, Lisa",1998,SUI,02:23.2,32.76,36.39,36.75,f,Freestyle
"CHIKUNOVA, Evgeniia",2004,RUS,02:23.3,33.54,36.64,36.94,f,Freestyle
"EFIMOVA, Yuliya",1992,RUS,02:23.6,33.57,37.12,36.47,f,Freestyle
"GARCIA URZAINQUI, Marina",1994,ESP,02:24.3,32.84,36.27,36.93,f,Freestyle
"VALL MONTERO, Jessica",1988,ESP,02:24.5,33.35,36.91,36.93,f,Freestyle
"FANGIO, Francesca",1995,ITA,02:24.6,33,36.58,37.11,f,Freestyle
"HANSSON, Sophie",1998,SWE,02:24.8,32.53,37.26,37.28,f,Freestyle
"CARRARO, Martina",1993,ITA,02:25.1,33.89,37.14,36.81,f,Freestyle
"TETEREVKOVA, Kotryna",2002,LTU,02:26.0,33.65,37.25,36.98,f,Freestyle
"HALMAI, Petra",1997,HUN,02:26.1,33.75,36.61,37.61,f,Freestyle
"HORSKA, Kristyna",1997,CZE,02:26.1,33.12,37.08,37.42,f,Freestyle
"KAMINSKAYA, Victoria",1995,POR,02:26.2,33.58,36.83,37.15,f,Freestyle
"BASISTO, Anastasia",2003,MDA,02:26.4,33.66,37.52,37.46,f,Freestyle
"PEREIRA, Raquel Gomes",2000,POR,02:26.6,32.88,37.31,37.84,f,Freestyle
"CHIKUNOVA, Evgeniia",2004,RUS,02:23.9,33.91,36.84,37.15,f,Freestyle
"WOOD, Abbie",1999,GBR,02:24.2,32.76,36.38,37.26,f,Freestyle
"MAMIE, Lisa",1998,SUI,02:24.5,33.15,37.25,36.46,f,Freestyle
"RENSHAW, Molly",1996,GBR,02:24.5,33.51,36.92,37.17,f,Freestyle
"EFIMOVA, Yuliya",1992,RUS,02:24.7,33.85,36,37.18,f,Freestyle
"KISELEVA (TEMNIKOVA), Maria",1995,RUS,02:25.0,34.16,36.78,36.96,f,Freestyle
"GARCIA URZAINQUI, Marina",1994,ESP,02:25.0,33.13,36.9,37.11,f,Freestyle
"FANGIO, Francesca",1995,ITA,02:25.0,33.37,36.47,37.53,f,Freestyle
"VALL MONTERO, Jessica",1988,ESP,02:25.2,33.85,37.26,37.12,f,Freestyle
"CARRARO, Martina",1993,ITA,02:25.4,33.73,36.21,38.15,f,Freestyle
"KAMINSKAYA, Victoria",1995,POR,02:25.9,33.76,36.96,37.17,f,Freestyle
"HANSSON, Sophie",1998,SWE,02:26.1,32.77,37.37,37.74,f,Freestyle
"TETEREVKOVA, Kotryna",2002,LTU,02:27.1,33.27,37.83,38.01,f,Freestyle
"BASISTO, Anastasia",2003,MDA,02:27.1,34.13,37.07,37.76,f,Freestyle
"HALMAI, Petra",1997,HUN,02:27.2,33.44,37.53,37.73,f,Freestyle
"PEREIRA, Raquel Gomes",2000,POR,02:27.2,33.16,36.86,37.62,f,Freestyle
"HORSKA, Kristyna",1997,CZE,02:27.4,33.61,37.46,37.71,f,Freestyle
"HERKLE, Kim Emely",2003,GER,02:27.5,33.26,36.8,38.45,f,Freestyle
"PODMANIKOVA, Andrea",1998,SVK,02:27.8,33.93,37.74,37.8,f,Freestyle
"ANGIOLINI, Lisa",1995,ITA,02:27.8,33.26,37.33,38.16,f,Freestyle
"SCHOUTEN, Tes",2000,NED,02:28.2,33.2,37.59,38.26,f,Freestyle
"FAST, Emelie",2004,SWE,02:28.4,33.06,37.84,38.46,f,Freestyle
"RYBAK-ANDERSEN, Clara",2003,DEN,02:28.4,33.43,37.6,38.35,f,Freestyle
"JEFIMOVA, Eneli",2006,EST,02:28.6,34.07,38.44,39.08,f,Freestyle
"BEKESI, Eszter",2002,HUN,02:28.8,34.78,38.56,38.05,f,Freestyle
"RUUSKA, Martta",2003,FIN,02:29.0,34.75,38.3,37.97,f,Freestyle
"COLLEOU, Stina Kajsa",1993,NOR,02:29.0,34.1,38.2,37.82,f,Freestyle
"FISCHER, Bente",1997,GER,02:29.8,34.15,37.4,38.64,f,Freestyle
"BLOMSTERBERG, Thea",2002,DEN,02:30.0,34.03,37.98,38.54,f,Freestyle
"TRNIKOVA, Nikoleta",2002,SVK,02:30.0,34.33,37.96,38.1,f,Freestyle
"BELONOGOFF, Tatiana",2001,RUS,02:30.1,34.35,37.98,38.69,f,Freestyle
"ROMANJUK, Maria",1996,EST,02:30.3,33.82,38.31,39.15,f,Freestyle
"BRUNZELL, Hannah",2001,SWE,02:30.6,34.77,37.67,38.25,f,Freestyle
"CASTIGLIONI, Arianna",1997,ITA,02:31.0,33.72,38.16,38.79,f,Freestyle
"KUMMEN, Eva",2001,NOR,02:31.0,33.9,38.51,38.92,f,Freestyle
"VOZEL, Tjasa",1994,SLO,02:31.4,34.32,38.1,38.35,f,Freestyle
"OEZKAN, Hazal",2003,TUR,02:31.6,34.49,38.62,39.59,f,Freestyle
"DUMONT, Josephine",2002,BEL,02:32.0,34.21,37.43,38.93,f,Freestyle
"KALMAR, Aliz",2002,HUN,02:32.4,34.19,38.54,39.56,f,Freestyle
"BLAZEVIC, Ana",2003,CRO,02:32.8,33.91,37.88,39.26,f,Freestyle
"VADOVICOVA, Nina",2003,SVK,02:33.8,34.81,38.46,39.49,f,Freestyle
"POLONSKY, Lea",2002,ISR,02:35.9,34.84,40.33,40.22,f,Freestyle
"TUDO, Nadia",1997,AND,02:37.6,35.67,39.76,40.51,f,Freestyle
"TKACHENKO, Alina",2005,UKR,02:40.5,35.16,40.8,42.14,f,Freestyle
"SAVICKAS, Aleksas",2003,LTU,02:13.4,30.22,33.86,34.29,m,Freestyle
"ASKHABOV, Dmitrii",2003,RUS,02:13.4,30.71,34,33.87,m,Freestyle
"TKACHUK, Maksym",2003,UKR,02:13.7,31.22,34.99,33.62,m,Freestyle
"MLADENOVIC, Luka",2004,AUT,02:13.9,29.83,34.27,34.95,m,Freestyle
"OVCHINNIKOV, Maksym",2003,UKR,02:14.9,30.27,33.91,35.5,m,Freestyle
"FREEMAN, Harvey",2004,GBR,02:15.4,30.52,34.51,34.85,m,Freestyle
"VAVRIN, Simon",2004,CZE,02:15.8,30.33,35,35.25,m,Freestyle
"KROES, Ivo",2003,NED,02:16.1,30.4,34.7,35.1,m,Freestyle
"MLADENOVIC, Luka",2004,AUT,02:13.3,29.55,33.76,34.6,m,Freestyle
"SAVICKAS, Aleksas",2003,LTU,02:14.3,30.16,34.19,34.62,m,Freestyle
"ASKHABOV, Dmitrii",2003,RUS,02:14.3,30.16,34.05,34.31,m,Freestyle
"OVCHINNIKOV, Maksym",2003,UKR,02:15.0,29.89,34.3,34.76,m,Freestyle
"TKACHUK, Maksym",2003,UKR,02:15.1,30.19,33.94,34.73,m,Freestyle
"KROES, Ivo",2003,NED,02:15.5,30.08,34.27,34.93,m,Freestyle
"FREEMAN, Harvey",2004,GBR,02:15.7,30.81,34.63,35.11,m,Freestyle
"VAVRIN, Simon",2004,CZE,02:16.9,30.66,34.78,35.31,m,Freestyle
"KARDOS, Daniel",2003,HUN,02:17.0,30.86,34.84,35.73,m,Freestyle
"TSALIAGKOS, Dimitrios",2004,GRE,02:17.3,30.8,35.26,35.31,m,Freestyle
"SMITH, George",2004,GBR,02:17.3,31.13,35.29,35.8,m,Freestyle
"IACOB, Mihai",2004,ROU,02:17.3,30.85,36.01,35.59,m,Freestyle
"BUJDOSO, Zsombor",2004,HUN,02:17.5,31.23,35.24,35.15,m,Freestyle
"CAROLETTA, Francesco",2003,ITA,02:17.7,31.34,35.63,36.09,m,Freestyle
"SVET, Denis",2004,MDA,02:19.1,31.13,35.37,36.32,m,Freestyle
"SOFIKITIS, Vasileios",2004,GRE,02:16.2,30.96,34.72,35.49,m,Freestyle
"SAVICKAS, Aleksas",2003,LTU,02:14.8,30.63,34.39,34.86,m,Freestyle
"FREEMAN, Harvey",2004,GBR,02:15.5,31.08,34.49,35.15,m,Freestyle
"ASKHABOV, Dmitrii",2003,RUS,02:16.5,31.1,35.29,35,m,Freestyle
"TKACHUK, Maksym",2003,UKR,02:17.1,31.74,35.3,36.1,m,Freestyle
"SMITH, George",2004,GBR,02:17.4,31.14,35.3,35.71,m,Freestyle
"TSALIAGKOS, Dimitrios",2004,GRE,02:17.5,30.75,35.32,35.95,m,Freestyle
"SOFIKITIS, Vasileios",2004,GRE,02:17.6,31.27,35.22,35.57,m,Freestyle
"VAVRIN, Simon",2004,CZE,02:17.9,30.84,34.83,35.42,m,Freestyle
"BUJDOSO, Zsombor",2004,HUN,02:18.0,31.2,35.51,35.51,m,Freestyle
"KROES, Ivo",2003,NED,02:18.1,31.22,35.6,35.86,m,Freestyle
"KARDOS, Daniel",2003,HUN,02:18.1,31.21,35.16,35.84,m,Freestyle
"CAROLETTA, Francesco",2003,ITA,02:18.5,31.53,35.23,36.31,m,Freestyle
"IACOB, Mihai",2004,ROU,02:18.5,31.24,35.78,36.6,m,Freestyle
"OVCHINNIKOV, Maksym",2003,UKR,02:18.6,31.68,35.52,36.6,m,Freestyle
"ELLINGTON, William",2003,GBR,02:18.6,31.94,35.38,35.56,m,Freestyle
"MLADENOVIC, Luka",2004,AUT,02:18.7,30.6,35.71,36.57,m,Freestyle
"SVET, Denis",2004,MDA,02:18.7,31.48,36.07,35.79,m,Freestyle
"GLAZUNOV, Georgii",2004,RUS,02:18.8,31.11,35.67,35.83,m,Freestyle
"LINDHOLM, Davin",2004,FIN,02:19.0,31.26,35.56,36.02,m,Freestyle
"IOSSIFOV, Daniel",2004,ISR,02:19.3,31.59,35.79,35.71,m,Freestyle
"DIKACZ, Bence",2004,SVK,02:19.4,32.27,35.6,36.11,m,Freestyle
"MANTEGAZZA, Christian",2005,ITA,02:19.7,31.72,35.18,36.37,m,Freestyle
"PIELA, Michal",2004,POL,02:20.0,32.08,35.29,36.37,m,Freestyle
"ROOSE, Ralf",2004,EST,02:20.1,30.34,36.19,36.91,m,Freestyle
"ALEXOPOULOS, Dimitrios-Marios",2004,GRE,02:20.3,31.15,35.36,36.22,m,Freestyle
"YANEV, Georgi",2004,BUL,02:20.7,32.08,35.34,36.59,m,Freestyle
"OBERHOLZER, Solan",2005,SUI,02:21.4,31.59,35.42,36.56,m,Freestyle
"SAMOCZI, Milan",2005,HUN,02:21.5,31.41,36.66,36.74,m,Freestyle
"GRITSOK, Alan",2003,EST,02:21.9,31.63,35.39,36.71,m,Freestyle
"KARA, Kaan",2004,TUR,02:21.9,31.09,35.92,36.94,m,Freestyle
"IHALAINEN, Jami",2003,FIN,02:21.9,31.69,35.73,36.72,m,Freestyle
"KOLTIN, Nikola",2004,SRB,02:22.9,31.66,36.34,36.56,m,Freestyle
"SCHOENUNG, Mathis",2004,GER,02:23.9,31.03,36.63,37.52,m,Freestyle
"STEFANIK, Florian",2003,AUT,02:24.0,32.26,36.67,37.32,m,Freestyle
"JUDICKIJ, Michal",2004,CZE,02:25.1,33,36.82,38.07,m,Freestyle
"ERIKSSON, August",2004,SWE,02:28.2,32.65,36.98,38.3,m,Freestyle
"QARRI, Even",2003,ALB,02:32.1,33.9,38.37,40.04,m,Freestyle
"DELMAS, Justine",2005,FRA,02:25.5,33.41,37.06,37.63,f,Freestyle
"JEFIMOVA, Eneli",2006,EST,02:28.0,33.77,37.96,38.67,f,Freestyle
"BOGOMOLOVA, Elena",2005,RUS,02:28.2,33.82,38.18,38.32,f,Freestyle
"SCHULZE, Nele",2004,GER,02:29.7,34.21,39.19,38.2,f,Freestyle
"MESSEL, Kellie",2004,GER,02:30.1,34.39,39.54,38.46,f,Freestyle
"MAYNE, Molly",2005,IRL,02:30.7,33.91,38.48,38.85,f,Freestyle
"TOGNI, Ilaria",2004,ITA,02:30.9,34.5,38.08,38.87,f,Freestyle
"PISCOPIELLO, Maria Letizia",2004,ITA,02:31.7,34.33,39.26,39.35,f,Freestyle
"DELMAS, Justine",2005,FRA,02:25.1,33.33,36.66,37.54,f,Freestyle
"JEFIMOVA, Eneli",2006,EST,02:27.6,33.06,37.55,39.04,f,Freestyle
"BOGOMOLOVA, Elena",2005,RUS,02:27.6,32.95,37.53,38.88,f,Freestyle
"MESSEL, Kellie",2004,GER,02:29.1,33.77,38.38,38.62,f,Freestyle
"MAYNE, Molly",2005,IRL,02:29.6,34.01,37.41,38.84,f,Freestyle
"SCHULZE, Nele",2004,GER,02:30.2,34.63,38.41,38.5,f,Freestyle
"TOGNI, Ilaria",2004,ITA,02:30.2,34.55,38.43,38.91,f,Freestyle
"PISCOPIELLO, Maria Letizia",2004,ITA,02:31.3,34.15,38.44,39.57,f,Freestyle
"ROBINSON, Sienna",2005,GBR,02:31.4,34.27,37.86,39.47,f,Freestyle
"NYSTRAND, Lisa",2006,SWE,02:31.6,34.55,38.26,38.91,f,Freestyle
"MEDVEDYEVA, Ol'ga",2005,UKR,02:32.4,33.98,38.6,39.95,f,Freestyle
"KLINT IPSA, Olivia",2005,SWE,02:32.6,34.04,38.54,39.39,f,Freestyle
"TASKILA, Pinja",2004,FIN,02:33.1,34.77,38.63,39.71,f,Freestyle
"BUKVIC, Martina",2006,SRB,02:33.1,34.66,38.77,39.93,f,Freestyle
"PALMER, Grace",2005,BEL,02:35.3,35.41,39.15,40.11,f,Freestyle
"CARRASCO CADENS, Emma",2005,ESP,02:28.9,34.3,37.97,38.4,f,Freestyle
"DELMAS, Justine",2005,FRA,02:28.5,33.78,37.61,38.48,f,Freestyle
"BOGOMOLOVA, Elena",2005,RUS,02:29.6,33.51,38.14,39.12,f,Freestyle
"MESSEL, Kellie",2004,GER,02:29.9,33.87,38.88,38.64,f,Freestyle
"MAYNE, Molly",2005,IRL,02:30.3,34,38.09,38.77,f,Freestyle
"JEFIMOVA, Eneli",2006,EST,02:30.7,34.27,39.5,39.69,f,Freestyle
"TOGNI, Ilaria",2004,ITA,02:31.1,34.65,38.26,38.94,f,Freestyle
"CARRASCO CADENS, Emma",2005,ESP,02:32.0,35.12,38.9,38.97,f,Freestyle
"SCHULZE, Nele",2004,GER,02:32.4,34.72,40.41,38.62,f,Freestyle
"PISCOPIELLO, Maria Letizia",2004,ITA,02:32.5,34.55,38.9,39.26,f,Freestyle
"MEDVEDYEVA, Ol'ga",2005,UKR,02:32.8,34.52,38.67,39.65,f,Freestyle
"BUKVIC, Martina",2006,SRB,02:33.0,34.56,38.35,39.77,f,Freestyle
"ROBINSON, Sienna",2005,GBR,02:33.2,33.87,38.17,40.1,f,Freestyle
"KLINT IPSA, Olivia",2005,SWE,02:33.7,34.67,39.48,39.5,f,Freestyle
"TASKILA, Pinja",2004,FIN,02:33.7,34.7,38.89,39.3,f,Freestyle
"PALMER, Grace",2005,BEL,02:33.8,35.6,39.06,39.7,f,Freestyle
"NYSTRAND, Lisa",2006,SWE,02:34.7,35.17,39.27,39.92,f,Freestyle
"COSKUN, Defne",2005,TUR,02:34.9,36.3,39.62,39.56,f,Freestyle
"BRAUN, Chloe",2004,FRA,02:35.3,34.91,39.44,40.2,f,Freestyle
"MALASHCHANKA, Anhelina",2004,BLR,02:35.4,34.02,39.22,40.24,f,Freestyle
"MIHALIC, Sara",2004,SLO,02:35.6,35.29,39.21,39.87,f,Freestyle
"ISAYEVA, Kamila",2005,UKR,02:35.7,35.17,39.02,40.51,f,Freestyle
"ANGELAKI, Chara",2004,GRE,02:35.8,35.61,39.85,39.93,f,Freestyle
"TKACHENKO, Alina",2005,UKR,02:36.9,35.13,40.08,41.04,f,Freestyle
"PRIBYLOVA, Jana",2005,CZE,02:37.7,35.18,41.32,41.97,f,Freestyle
"VAN DOOREN, Ante",2006,BEL,02:37.9,35.53,40.4,40.58,f,Freestyle
"KAITURI, Ellen",2006,FIN,02:37.9,35.03,40.15,41.09,f,Freestyle
"CUETO CABRERA, Havana",2007,SUI,02:38.1,35.13,40.22,41.68,f,Freestyle
"PETER, Virag",2004,HUN,02:38.6,34.75,40.24,41.71,f,Freestyle
"JANDIKOVA, Natalie",2005,CZE,02:39.2,34.59,40.76,41.68,f,Freestyle
"BORAKER, Saga",2004,SWE,02:39.8,35.01,41.29,41.36,f,Freestyle
"FALSDOTTIR, Eva Margret",2005,ISL,02:40.4,35.75,40.76,41.45,f,Freestyle
"MATAJA, Meri",2004,CRO,02:40.7,35.56,40.27,42.19,f,Freestyle
"SMOLSKAYA, Anna",2005,BLR,02:43.8,34.53,40.67,43.26,f,Freestyle
"GALEA, Maya",2005,MLT,02:44.8,37.54,41.21,42.69,f,Freestyle
"VORONTSOVA, Jekaterina",2005,EST,02:46.8,36.69,42.01,43.55,f,Freestyle
"HASHORVA, Telma",2005,ALB,02:53.2,38.07,43.78,45.49,f,Freestyle
"RODRIGUEZ SANCHEZ, Laura",2004,ESP,02:30.6,34.52,38.09,39.22,f,Freestyle
"BALANDIN, Dmitriy",1995,KAZ,02:07.5,29.43,31.96,32.76,m,Freestyle
"PRENOT, Josh C",1993,USA,02:07.5,29.35,32.7,32.33,m,Freestyle
"CHUPKOV, Anton",1997,RUS,02:07.7,29.85,32.51,32.86,m,Freestyle
"WILLIS, Andrew",1990,GBR,02:07.8,29.5,32.88,32.68,m,Freestyle
"KOSEKI, Yasuhiro",1992,JPN,02:07.8,29,31.86,32.88,m,Freestyle
"WATANABE, Ippei",1997,JPN,02:07.9,29.41,32.94,32.77,m,Freestyle
"KOCH, Marco",1990,GER,02:08.0,29.25,33.06,32.65,m,Freestyle
"CORDES, Kevin",1993,USA,02:08.3,29.1,33.39,32.6,m,Freestyle
"WATANABE, Ippei",1997,JPN,02:07.2,29.14,32.69,32.72,m,Freestyle
"WILLIS, Andrew",1990,GBR,02:07.7,29.04,33,32.87,m,Freestyle
"PRENOT, Josh C",1993,USA,02:07.8,29.43,32.72,32.53,m,Freestyle
"KOSEKI, Yasuhiro",1992,JPN,02:07.9,28.88,32.93,33.45,m,Freestyle
"CORDES, Kevin",1993,USA,02:08.0,28.97,32.43,32.83,m,Freestyle
"CHUPKOV, Anton",1997,RUS,02:08.1,29.42,32.99,33.12,m,Freestyle
"KOCH, Marco",1990,GER,02:08.1,29.2,33.34,32.74,m,Freestyle
"BALANDIN, Dmitriy",1995,KAZ,02:08.2,29.05,32.74,33.32,m,Freestyle
"MAO, Feilian",1993,CHN,02:09.6,29.71,33.42,33.7,m,Freestyle
"KHOMENKO, Ilya",1995,RUS,02:09.7,29.57,32.98,33.23,m,Freestyle
"PERSSON, Erik",1994,SWE,02:10.1,29.92,33.11,33.33,m,Freestyle
"LI, Xiang",1993,CHN,02:10.9,29.35,33.98,33.88,m,Freestyle
"BENSON, Craig H",1994,GBR,02:10.9,29.78,32.99,33.65,m,Freestyle
"PIZZINI, Luca",1989,ITA,02:11.5,29.7,33.43,34.2,m,Freestyle
"CLAVERIE, Carlos",1996,VEN,02:11.6,29.69,33.31,33.36,m,Freestyle
"MATTSSON, Matti",1993,FIN,02:13.0,29.62,33.16,34.03,m,Freestyle
"CHUPKOV, Anton",1997,RUS,02:07.9,29.59,33.18,32.75,m,Freestyle
"KOSEKI, Yasuhiro",1992,JPN,02:08.6,28.9,33.05,33.08,m,Freestyle
"WILLIS, Andrew",1990,GBR,02:08.9,29.67,33,33.61,m,Freestyle
"KHOMENKO, Ilya",1995,RUS,02:08.9,29.19,32.97,33.37,m,Freestyle
"KOCH, Marco",1990,GER,02:09.0,29.85,32.85,33.21,m,Freestyle
"BALANDIN, Dmitriy",1995,KAZ,02:09.0,30.08,32.89,33.5,m,Freestyle
"CORDES, Kevin",1993,USA,02:09.3,29.36,33.05,33.51,m,Freestyle
"WATANABE, Ippei",1997,JPN,02:09.6,29.2,33.17,33.39,m,Freestyle
"MAO, Feilian",1993,CHN,02:09.8,29.98,33.11,33.93,m,Freestyle
"PRENOT, Josh C",1993,USA,02:09.9,29.95,33.28,33.35,m,Freestyle
"MATTSSON, Matti",1993,FIN,02:10.1,29.46,33.07,33.56,m,Freestyle
"PERSSON, Erik",1994,SWE,02:10.1,29.94,32.66,33.7,m,Freestyle
"LI, Xiang",1993,CHN,02:10.2,29.47,33.69,33.68,m,Freestyle
"CLAVERIE, Carlos",1996,VEN,02:10.4,29.82,33.34,33.03,m,Freestyle
"BENSON, Craig H",1994,GBR,02:11.2,30.18,33.57,33.76,m,Freestyle
"PIZZINI, Luca",1989,ITA,02:11.3,29.52,33.96,33.8,m,Freestyle
"GYURTA, Daniel",1989,HUN,02:11.3,29.66,33.22,33.73,m,Freestyle
"MCKEE, Anton Sveinn",1993,ISL,02:11.4,30.54,33.4,33.66,m,Freestyle
"QUINN, Nicholas",1993,IRL,02:11.7,29.56,33.35,33.63,m,Freestyle
"KAESER, Yannick",1992,SUI,02:11.8,30.44,33.37,33.92,m,Freestyle
"CARNOL, Laurent",1989,LUX,02:11.9,30.38,33.48,34.08,m,Freestyle
"TITENIS, Giedrius",1989,LTU,02:12.1,29.84,33.7,33.91,m,Freestyle
"SNYDERS, Glenn A",1987,NZL,02:12.5,29.62,33.5,34.42,m,Freestyle
"BAUMANN, Ashton",1993,CAN,02:12.6,29.98,33.31,34.27,m,Freestyle
"CROUS, Jarred",1996,RSA,02:12.6,29.68,33.34,34.27,m,Freestyle
